Method name; X0; eps; Iters; Func calculation; Xi; f(Xi)
MSG(Fibonacci)OM2.QuadraticFunc;-3.00000000 4.00000000; 0.001; 5; 268; 0.99984656 0.99984577; 2.3606372863644606E-08
MSG(Fibonacci)OM2.QuadraticFunc;4.00000000 -7.00000000; 0.001; 11; 595; 0.99997462 0.99997449; 6.458403011265796E-10
MSG(Parabols)OM2.QuadraticFunc;-3.00000000 4.00000000; 0.001; 4; 139; 0.99962133 0.99961959; 1.4369231990747654E-07
MSG(Parabols)OM2.QuadraticFunc;4.00000000 -7.00000000; 0.001; 5; 179; 0.99999981 1.00000026; 2.0278320049512766E-11
Broyden(Fibonacci)OM2.QuadraticFunc;-3.00000000 4.00000000; 0.001; 6; 357; 1.00000185 1.00000190; 3.6347552552614526E-12
Broyden(Fibonacci)OM2.QuadraticFunc;4.00000000 -7.00000000; 0.001; 4; 239; 1.00000000 1.00000001; 1.2440695571055016E-14
Broyden(Parabols)OM2.QuadraticFunc;-3.00000000 4.00000000; 0.001; 5; 179; 0.99999877 0.99999877; 1.5127468502539295E-12
Broyden(Parabols)OM2.QuadraticFunc;4.00000000 -7.00000000; 0.001; 4; 148; 1.00000004 0.99999996; 7.169032346692852E-13
MSG(Fibonacci)OM2.QuadraticFunc;-3.00000000 4.00000000; 0.0001; 6; 337; 0.99999994 1.00000004; 1.1373709450558025E-12
MSG(Fibonacci)OM2.QuadraticFunc;4.00000000 -7.00000000; 0.0001; 11; 595; 0.99997462 0.99997449; 6.458403011265796E-10
MSG(Parabols)OM2.QuadraticFunc;-3.00000000 4.00000000; 0.0001; 5; 179; 1.00000000 1.00000000; 5.732848632327099E-17
MSG(Parabols)OM2.QuadraticFunc;4.00000000 -7.00000000; 0.0001; 6; 211; 1.00000003 1.00000003; 1.0497075115070684E-15
Broyden(Fibonacci)OM2.QuadraticFunc;-3.00000000 4.00000000; 0.0001; 6; 357; 1.00000185 1.00000190; 3.6347552552614526E-12
Broyden(Fibonacci)OM2.QuadraticFunc;4.00000000 -7.00000000; 0.0001; 4; 239; 1.00000000 1.00000001; 1.2440695571055016E-14
Broyden(Parabols)OM2.QuadraticFunc;-3.00000000 4.00000000; 0.0001; 5; 179; 0.99999877 0.99999877; 1.5127468502539295E-12
Broyden(Parabols)OM2.QuadraticFunc;4.00000000 -7.00000000; 0.0001; 4; 148; 1.00000004 0.99999996; 7.169032346692852E-13
MSG(Fibonacci)OM2.QuadraticFunc;-3.00000000 4.00000000; 1E-05; 7; 386; 0.99999999 0.99999999; 2.9612964219773628E-15
MSG(Fibonacci)OM2.QuadraticFunc;4.00000000 -7.00000000; 1E-05; 13; 713; 1.00000000 0.99999999; 3.6433477449971223E-16
MSG(Parabols)OM2.QuadraticFunc;-3.00000000 4.00000000; 1E-05; 5; 179; 1.00000000 1.00000000; 5.732848632327099E-17
MSG(Parabols)OM2.QuadraticFunc;4.00000000 -7.00000000; 1E-05; 6; 211; 1.00000003 1.00000003; 1.0497075115070684E-15
Broyden(Fibonacci)OM2.QuadraticFunc;-3.00000000 4.00000000; 1E-05; 7; 406; 1.00000186 1.00000187; 3.480627743977036E-12
Broyden(Fibonacci)OM2.QuadraticFunc;4.00000000 -7.00000000; 1E-05; 4; 239; 1.00000000 1.00000001; 1.2440695571055016E-14
Broyden(Parabols)OM2.QuadraticFunc;-3.00000000 4.00000000; 1E-05; 5; 179; 0.99999877 0.99999877; 1.5127468502539295E-12
Broyden(Parabols)OM2.QuadraticFunc;4.00000000 -7.00000000; 1E-05; 5; 180; 1.00000000 1.00000000; 2.1163815149618205E-19
MSG(Fibonacci)OM2.QuadraticFunc;-3.00000000 4.00000000; 1E-06; 8; 435; 0.99999999 0.99999999; 7.27106752059553E-17
MSG(Fibonacci)OM2.QuadraticFunc;4.00000000 -7.00000000; 1E-06; 13; 713; 1.00000000 0.99999999; 3.6433477449971223E-16
MSG(Parabols)OM2.QuadraticFunc;-3.00000000 4.00000000; 1E-06; 5; 179; 1.00000000 1.00000000; 5.732848632327099E-17
MSG(Parabols)OM2.QuadraticFunc;4.00000000 -7.00000000; 1E-06; 6; 211; 1.00000003 1.00000003; 1.0497075115070684E-15
Broyden(Fibonacci)OM2.QuadraticFunc;-3.00000000 4.00000000; 1E-06; 8; 475; 1.00000000 1.00000000; 8.350351526748936E-27
Broyden(Fibonacci)OM2.QuadraticFunc;4.00000000 -7.00000000; 1E-06; 5; 288; 1.00000000 1.00000000; 4.094521631979987E-17
Broyden(Parabols)OM2.QuadraticFunc;-3.00000000 4.00000000; 1E-06; 6; 219; 1.00000000 1.00000000; 3.994767021439722E-24
Broyden(Parabols)OM2.QuadraticFunc;4.00000000 -7.00000000; 1E-06; 5; 180; 1.00000000 1.00000000; 2.1163815149618205E-19
MSG(Fibonacci)OM2.QuadraticFunc;-3.00000000 4.00000000; 1E-07; 8; 435; 0.99999999 0.99999999; 7.27106752059553E-17
