i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient; Eta 1 stroka; Eta 2 stroka
0; -3.000000 4.000000; 2516.000000; 6048.139767 954.969437; 0.000164; ; ; ; ; -6048.139767 -954.969437; 1.000000 0.000000; 0.000000 1.000000
1; -2.008778 4.156509; 10.524615; 1.383067 -8.775570; 0.041943; 0.991222; 0.156509; 2505.475385; 2.057696; 92.903463 23.803182; 0.024931 -0.155409; -0.155409 0.975231
2; -1.950768 3.788434; 8.736135; 19.362290 3.552714; 0.000328; 0.058010; 0.368075; 1.788481; 2.847725; -19.362290 -3.552714; 1.000000 0.000000; 0.000000 1.000000
3; -1.944422 3.789598; 8.677403; 0.365548 -1.402924; 0.754939; 0.006346; 0.001164; 0.058732; 1.864847; 1.065814 1.776357; 0.064013 -0.244193; -0.244193 0.936292
4; -1.668455 2.730476; 7.404394; 40.856207 10.835777; 0.000414; 0.275966; 1.059122; 1.273009; 2.922418; -40.856207 -10.835777; 1.000000 0.000000; 0.000000 1.000000
5; -1.651527 2.734966; 7.036107; 0.468387 -1.529658; 0.671089; 0.016929; 0.004490; 0.368286; 1.860052; -0.532907 1.509903; 0.086093 -0.279824; -0.279824 0.914322
6; -1.337197 1.708429; 6.097178; 47.606363 15.987212; 0.000655; 0.314329; 1.026536; 0.938929; 2.895481; -47.606363 -15.987212; 1.000000 0.000000; 0.000000 1.000000
7; -1.305994 1.718908; 5.335264; 0.600202 -1.608609; 0.344574; 0.031203; 0.010479; 0.761914; 1.910915; 2.220446 2.664535; 0.123459 -0.328138; -0.328138 0.877160
8; -1.099180 1.164622; 4.596424; 23.181457 8.704149; 0.000875; 0.206814; 0.554286; 0.738840; 2.848981; -23.181457 -8.704149; 1.000000 0.000000; 0.000000 1.000000
9; -1.078902 1.172236; 4.328569; 0.768151 -1.660894; 0.335544; 0.020278; 0.007614; 0.267855; 1.968104; -0.710543 1.687539; 0.176950 -0.380685; -0.380685 0.823922
10; -0.821153 0.614933; 3.668956; 23.225866 11.857182; 0.001379; 0.257749; 0.557304; 0.659612; 2.830826; -23.225866 -11.857182; 1.000000 0.000000; 0.000000 1.000000
11; -0.789124 0.631284; 3.208305; 0.986967 -1.627624; 0.183599; 0.032029; 0.016351; 0.460651; 2.026793; -0.888178 1.687539; 0.269925 -0.442790; -0.442790 0.731448
12; -0.607918 0.332454; 2.723118; 12.256862 7.460699; 0.002622; 0.181206; 0.298830; 0.485187; 2.790627; -12.256862 -7.460699; 1.000000 0.000000; 0.000000 1.000000
13; -0.575787 0.352012; 2.525056; 1.399072 -1.673742; 0.167772; 0.032132; 0.019558; 0.198063; 2.094364; 1.465494 4.085621; 0.416046 -0.491672; -0.491672 0.586027
14; -0.341061 0.071205; 2.002006; 8.837375 9.015011; 0.003597; 0.234725; 0.280807; 0.523050; 2.815774; -8.837375 -9.015011; 1.000000 0.000000; 0.000000 1.000000
15; -0.309269 0.103636; 1.720568; 1.868174 -1.266257; 0.088682; 0.031792; 0.032431; 0.281438; 2.140426; -1.643130 1.598721; 0.686877 -0.462586; -0.462586 0.316608
16; -0.143596 -0.008657; 1.393527; 3.952394 5.839773; 0.005243; 0.165673; 0.112294; 0.327040; 2.869260; -3.952394 -5.839773; 1.000000 0.000000; 0.000000 1.000000
17; -0.122874 0.021960; 1.265556; 2.107354 -0.603449; 0.083886; 0.020722; 0.030618; 0.127972; 2.226001; -1.887379 1.376677; 0.925476 -0.261957; -0.261957 0.079203
18; 0.053904 -0.028661; 0.994741; 1.199041 6.306067; 0.005413; 0.176778; 0.050621; 0.270815; 3.039557; -1.199041 -6.306067; 1.000000 0.000000; 0.000000 1.000000
19; 0.060394 0.005476; 0.883193; 1.859513 0.201498; 0.083886; 0.006491; 0.034137; 0.111548; 1.871584; -1.920686 0.355271; 0.988132 0.108022; 0.108022 0.016827
20; 0.216382 0.022379; 0.673799; -0.555112 4.884981; 0.005243; 0.155987; 0.016903; 0.209394; 0.017514; 0.555112 -4.884981; 1.000000 0.000000; 0.000000 1.000000
21; 0.213471 0.047991; 0.619213; 1.316394 0.567872; 0.117348; 0.002910; 0.025612; 0.054585; 1.580890; -1.776357 0.488498; 0.841297 0.364484; 0.364484 0.162910
22; 0.367948 0.114630; 0.442572; -1.787459 4.157785; 0.003417; 0.154477; 0.066639; 0.176642; 0.186132; 1.787459 -4.157785; 1.000000 0.000000; 0.000000 1.000000
23; 0.361841 0.128836; 0.407685; 0.828002 0.610554; 0.167772; 0.006108; 0.014207; 0.034886; 1.674808; -0.971445 -0.416334; 0.648195 0.476339; 0.476339 0.355044
24; 0.500756 0.231270; 0.287216; -2.892131 3.896883; 0.002622; 0.138916; 0.102434; 0.120469; 0.293315; 2.892131 -3.896883; 1.000000 0.000000; 0.000000 1.000000
25; 0.493175 0.241486; 0.257173; 0.507039 0.508179; 0.250988; 0.007582; 0.010216; 0.030043; 1.776606; -0.671685 -0.344169; 0.499320 0.498746; 0.498746 0.503180
26; 0.620435 0.369033; 0.169372; -3.180789 3.178013; 0.002622; 0.127261; 0.127547; 0.087802; 0.331183; 3.180789 -3.178013; 1.000000 0.000000; 0.000000 1.000000
27; 0.612097 0.377364; 0.151199; 0.303878 0.373138; 0.395668; 0.008338; 0.008331; 0.018172; 1.820046; -1.440514 0.541234; 0.394088 0.487428; 0.487428 0.607887
28; 0.732331 0.525003; 0.084430; -2.778333 2.259304; 0.001600; 0.120235; 0.147638; 0.066769; 0.334873; 2.778333 -2.259304; 1.000000 0.000000; 0.000000 1.000000
29; 0.727885 0.528618; 0.074190; 0.172375 0.253589; 0.671089; 0.004446; 0.003615; 0.010240; 1.836889; -0.194289 -0.238698; 0.316986 0.464135; 0.464135 0.684603
30; 0.843564 0.698799; 0.040860; -3.979456 2.557676; 0.001311; 0.115679; 0.170181; 0.033330; 0.345679; 3.979456 -2.557676; 1.000000 0.000000; 0.000000 1.000000
31; 0.838348 0.702152; 0.026177; 0.084610 0.142345; 0.891554; 0.005216; 0.003353; 0.014683; 1.878539; -0.096451 -0.135308; 0.261941 0.438593; 0.438593 0.739365
32; 0.913782 0.829060; 0.010960; -1.989901 1.186724; 0.001311; 0.075434; 0.126908; 0.015217; 0.337288; 1.989901 -1.186724; 1.000000 0.000000; 0.000000 1.000000
33; 0.911174 0.830615; 0.007904; 0.041191 0.074477; 1.342177; 0.002608; 0.001556; 0.003055; 1.867019; -0.315026 0.075460; 0.231544 0.420766; 0.420766 0.769611
34; 0.966460 0.930577; 0.002328; -1.272810 0.693065; 0.001311; 0.055286; 0.099961; 0.005577; 0.326416; 1.272810 -0.693065; 1.000000 0.000000; 0.000000 1.000000
35; 0.964791 0.931485; 0.001284; 0.015016 0.028284; 1.650604; 0.001668; 0.000908; 0.001044; 1.876485; -0.326323 0.132403; 0.211212 0.407147; 0.407147 0.789844
36; 0.989577 0.978171; 0.000228; -0.410392 0.218030; 0.001311; 0.024785; 0.046686; 0.001056; 0.314905; 0.410392 -0.218030; 1.000000 0.000000; 0.000000 1.000000
37; 0.989039 0.978457; 0.000127; 0.004523 0.008661; 1.833733; 0.000538; 0.000286; 0.000101; 1.873639; -0.124317 0.051784; 0.203740 0.401772; 0.401772 0.797277
38; 0.997333 0.994338; 0.000018; -0.128222 0.066776; 0.001311; 0.008294; 0.015882; 0.000109; 0.309498; 0.128222 -0.066776; 1.000000 0.000000; 0.000000 1.000000
39; 0.997165 0.994426; 0.000009; 0.001155 0.002215; 1.873059; 0.000168; 0.000088; 0.000009; 1.877563; -0.041077 0.017705; 0.200152 0.399112; 0.399112 0.800850
40; 0.999328 0.998575; 0.000001; -0.031496 0.016511; 0.001311; 0.002164; 0.004149; 0.000008; 0.306035; 0.031496 -0.016511; 1.000000 0.000000; 0.000000 1.000000
41; 0.999287 0.998596; 0.000001; 0.000300 0.000574; 1.729454; 0.000041; 0.000022; 0.000001; 1.873737; -0.010031 0.004303; 0.201565 0.400170; 0.400170 0.799438
42; 0.999806 0.999589; 0.000000; -0.008669 0.004528; 0.001311; 0.000519; 0.000993; 0.000000; 0.304262; 0.008669 -0.004528; 1.000000 0.000000; 0.000000 1.000000
43; 0.999794 0.999595; 0.000000; 0.000084 0.000161; 1.885631; 0.000011; 0.000006; 0.000000; 1.874904; -0.002807 0.001198; 0.200152 0.399114; 0.399114 0.800847
44; 0.999952 0.999898; 0.000000; -0.002376 0.001236; 0.001311; 0.000158; 0.000303; 0.000000; 0.305864; 0.002376 -0.001236; 1.000000 0.000000; 0.000000 1.000000
45; 0.999949 0.999900; 0.000000; ; ; 0.000003; 0.000002; 0.000000; 1.876608; -0.000767 0.000333
