i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient; Eta 1 stroka; Eta 2 stroka
0; -3.000000 4.000000; 2516.000000; 6048.139767 954.969437; 0.000166; ; ; ; ; -6048.139767 -954.969437; 1.000000 0.000000; 0.000000 1.000000
1; -1.997046 4.158361; 11.877969; 1.911151 -12.086377; 0.039573; 1.002954; 0.158361; 2504.122031; 2.057696; 130.206956 33.217873; 0.025102 -0.155929; -0.155929 0.975060
2; -1.921416 3.680067; 8.548536; 14.743762 2.486900; 0.000323; 0.075630; 0.478294; 3.329432; 2.850697; -14.743762 -2.486900; 1.000000 0.000000; 0.000000 1.000000
3; -1.916659 3.680870; 8.512212; 0.367573 -1.370120; 0.823598; 0.004757; 0.000802; 0.036325; 1.884877; -0.177636 1.421085; 0.067460 -0.250224; -0.250224 0.932859
4; -1.613927 2.552441; 7.106327; 38.813397 10.658141; 0.000442; 0.302732; 1.128429; 1.405884; 2.923622; -38.813397 -10.658141; 1.000000 0.000000; 0.000000 1.000000
5; -1.596767 2.557153; 6.748807; 0.457522 -1.449586; 0.548632; 0.017159; 0.004712; 0.357520; 1.866639; -0.266454 1.509903; 0.091026 -0.286951; -0.286951 0.909414
6; -1.345756 1.761864; 5.744586; 31.175063 9.769963; 0.000613; 0.251011; 0.795289; 1.004221; 2.889129; -31.175063 -9.769963; 1.000000 0.000000; 0.000000 1.000000
7; -1.326653 1.767851; 5.419464; 0.561567 -1.522617; 0.363073; 0.019103; 0.005987; 0.325121; 1.919391; -0.355271 1.598721; 0.120328 -0.324520; -0.324520 0.880281
8; -1.122763 1.215029; 4.713766; 24.780178 9.148238; 0.000836; 0.203890; 0.552821; 0.705698; 2.851153; -24.780178 -9.148238; 1.000000 0.000000; 0.000000 1.000000
9; -1.102047 1.222677; 4.425276; 0.713362 -1.597462; 0.290613; 0.020716; 0.007648; 0.288490; 1.963093; -0.710543 1.598721; 0.166958 -0.372004; -0.372004 0.833878
10; -0.894735 0.758434; 3.767407; 18.829382 8.437695; 0.001215; 0.207312; 0.464243; 0.657869; 2.828027; -18.829382 -8.437695; 1.000000 0.000000; 0.000000 1.000000
