i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient; Eta 1 stroka; Eta 2 stroka
0; -3.000000 4.000000; -0.240602; 0.058287 -0.058287; 94.482883; ; ; ; ; -0.058287 0.058287; 1.000000 0.000000; 0.000000 1.000000
1; 2.507096 -1.507096; -0.739650; 1.729013 -1.086371; 0.113413; 5.507096; 5.507096; 0.499048; 2.999696; -0.255351 -0.255351; 65.458960 -58.687847; -58.687847 54.433431
2; 2.703189 -1.630305; -0.749806; 0.177636 0.277556; 32.306054; 0.196093; 0.123209; 0.010156; 0.019731; -0.177636 -0.277556; 1.000000 0.000000; 0.000000 1.000000
3; 8.441897 7.336426; -0.109853; -0.467660 -0.731754; 18.129343; 5.738708; 8.966731; 0.639953; 1.544182; 0.015266 0.024980; 9.332644 13.018062; 13.018062 21.338074
4; -0.036463 -5.929785; -0.109611; 0.026368 0.018041; 305.028832; 8.478360; 13.266211; 0.000242; 2.854917; -0.026368 -0.018041; 1.000000 0.000000; 0.000000 1.000000
5; 8.006475 -0.426722; -0.266083; -0.590739 -0.287469; 7.991233; 8.042938; 5.503063; 0.156472; 2.176996; 0.061062 -0.083267; 191.428897 133.286653; 133.286653 94.291155
6; 3.285743 -2.723955; -0.509868; -0.077716 0.177636; 25.244741; 4.720733; 2.297233; 0.243785; 2.635454; 0.077716 -0.177636; 1.000000 0.000000; 0.000000 1.000000
7; 1.323832 1.760411; -1.962897; 3.722255 -14.475035; -0.006637; 1.961910; 4.484367; 1.453029; 2.675396; -1.021405 -0.466294; -0.733347 9.589021; 9.589021 -52.047265
8; 1.299128 1.856482; -1.971948; 1.043610 0.266454; 1.491968; 0.024704; 0.096070; 0.009051; 2.245115; -1.043610 -0.266454; 1.000000 0.000000; 0.000000 1.000000
9; 2.856160 2.254022; -3.641052; -0.743235 0.245427; -0.365858; 1.557032; 0.397540; 1.669104; 0.710240; -0.355271 1.554312; 0.621437 0.620219; 0.620219 -0.016136
10; 3.128079 2.164231; -3.766483; -0.399680 -1.154632; 0.176582; 0.271919; 0.089791; 0.125432; 2.154544; 0.399680 1.154632; 1.000000 0.000000; 0.000000 1.000000
11; 3.057502 1.960343; -3.897159; -0.185108 0.037536; 0.307670; 0.070576; 0.203888; 0.130675; 2.509291; 0.177636 -0.088818; 0.982701 -0.118724; -0.118724 0.185170
12; 3.000550 1.971892; -3.902647; 0.000000 -0.044409; 0.031510; 0.056952; 0.011549; 0.005489; 2.371392; 0.000000 0.044409; 1.000000 0.000000; 0.000000 1.000000
13; 3.000550 1.970492; -3.902653; ; ; 0.000000; 0.001399; 0.000006; 2.152200; 0.000000 0.000000
