i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient
0; 4.000000 -7.000000; 12109.000000; -2182.787284 2182.787284; ; ; ; ; ; 2182.787284 -2182.787284
1; -1.722209 -1.277791; 27.161190; 90.309560 -84.980489; 0.002622; 5.722209; 5.722209; 12081.838810; 2.875341; -94.146912 88.817842
2; -1.485461 -1.500568; 6.200340; 2.117770 2.860453; 0.002622; 0.236748; 0.222778; 20.960850; 1.748258; -2.042810 -2.930989
3; -1.258723 -1.194316; 5.516668; 17.230661 -12.878587; 0.107064; 0.226738; 0.306253; 0.683672; 2.998558; -17.230661 12.878587
4; -1.213553 -1.228077; 4.920911; 2.013766 2.620775; 0.002622; 0.045170; 0.033761; 0.595757; 1.740595; -1.598721 -2.930989
5; -0.875699 -0.788384; 4.280643; 160.162132 163.405455; 0.167772; 0.337854; 0.439693; 0.640268; 3.017307; -21.227464 17.408297
6; 0.803734 0.925058; 1.510478; 24.624747 -24.247271; 0.010486; 1.679433; 1.713442; 2.770166; 3.079147; -24.624747 24.247271
7; 0.868288 0.861494; 0.021965; -1.031905 1.295850; 0.002622; 0.064554; 0.063565; 1.488513; 1.633136; 1.094611 -1.357595
8; 0.865540 0.864944; 0.018115; 0.135799 0.136249; 0.002663; 0.002748; 0.003451; 0.003850; 1.461816; -0.149533 -0.119002
9; 1.000050 0.999899; 0.000002; -0.030171 0.030072; 0.990504; 0.134510; 0.134955; 0.018113; 0.001998; 0.030171 -0.030072
10; 0.999971 0.999978; 0.000000; 0.001470 -0.001412; 0.002622; 0.000079; 0.000079; 0.000002; 1.572525; -0.001547 0.001489
11; 0.999975 0.999974; 0.000000; 0.000025 0.000025; 0.002629; 0.000004; 0.000004; 0.000000; 1.550616; -0.000025 -0.000026
