i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient
0; 4.000000 -7.000000; 52909.000000; -36379.788071 4365.574569; ; ; ; ; ; 36379.788071 -4365.574569
1; -0.057567 -6.513092; 4247.473058; 137.069746 1278.672086; 0.000112; 4.057567; 0.486908; 48661.526942; 2.209371; -181.898940 -1273.292582
2; 0.691995 0.479287; 0.094886; 0.734180 -0.085620; 0.005468; 0.749562; 6.992379; 4247.378172; 3.043642; -0.734135 0.086042
3; 0.693919 0.479063; 0.094291; -0.070777 0.492661; 0.002622; 0.001925; 0.000224; 0.000595; 0.721849; 0.070777 -0.492661
4; 0.693668 0.480809; 0.093853; 0.434640 0.603010; 0.003544; 0.000251; 0.001746; 0.000439; 1.109247; -0.510703 -0.073552
5; 0.793544 0.619375; 0.053311; 6.963378 15.707277; 0.229791; 0.099876; 0.138566; 0.040542; 0.340151; 2.869233 -2.065709
6; 0.814067 0.665669; 0.035449; 1.331574 -0.591888; 0.002947; 0.020523; 0.046294; 0.017862; 0.490762; -1.331574 0.591888
7; 0.815923 0.664844; 0.033963; 0.102052 0.167126; 0.001394; 0.001856; 0.000825; 0.001486; 1.103718; -0.078410 -0.177636
8; 0.895688 0.795471; 0.015486; 15.762358 30.800702; 0.781610; 0.079765; 0.130628; 0.018477; 0.338875; 2.217324 -1.356207
9; 0.997574 0.994563; 0.000041; -0.231189 0.118019; 0.006464; 0.101886; 0.199091; 0.015445; 0.371582; 0.231189 -0.118019
10; 0.997271 0.994717; 0.000010; 0.050559 -0.022510; 0.001311; 0.000303; 0.000155; 0.000030; 1.885705; -0.072483 0.033702
11; 0.997344 0.994684; 0.000007; 0.001049 0.002134; 0.001455; 0.000074; 0.000033; 0.000003; 1.202986; -0.000956 -0.002176
12; 1.000161 1.000413; 0.000001; 0.036373 -0.018347; 2.684355; 0.002817; 0.005729; 0.000006; 0.329788; -0.036373 0.018347
13; 1.000208 1.000389; 0.000000; -0.007911 0.003731; 0.001311; 0.000048; 0.000024; 0.000001; 1.252699; 0.011452 -0.005518
14; 1.000197 1.000395; 0.000000; -0.000079 -0.000158; 0.001453; 0.000011; 0.000005; 0.000000; 1.915357; 0.000075 0.000159
