i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient
0; 4.000000 -7.000000; -0.146230; -0.022204 0.030531; ; ; ; ; ; 0.022204 -0.030531
1; -1.819976 1.002468; -0.425729; -0.334597 0.756362; 262.108437; 5.819976; 8.002468; 0.279499; 3.031942; -0.138778 -0.105471
2; -2.044521 1.510054; -0.432411; 0.132919 0.075753; 0.671089; 0.224544; 0.507586; 0.006682; 0.650832; -0.144329 -0.049960
3; 1.148160 3.329632; -1.026244; 0.355271 -0.643929; 24.019810; 3.192681; 1.819579; 0.593833; 1.987427; -0.355271 0.643929
4; 2.101835 1.601097; -2.746051; 3.392931 -2.571993; 2.684355; 0.953674; 1.728535; 1.719807; 2.305364; -1.287859 -1.243450
5; 2.259163 1.481835; -2.769229; 1.894862 0.982440; 0.046370; 0.157329; 0.119262; 0.023178; 1.299616; -1.199041 -1.509903
6; 3.068188 1.901295; -3.880956; -0.177636 0.399680; 0.426957; 0.809025; 0.419460; 1.111727; 0.102209; 0.177636 -0.399680
7; 3.033965 1.978297; -3.900663; -0.208768 0.025638; 0.192659; 0.034223; 0.077002; 0.019707; 1.434256; 0.177636 0.044409
8; 2.998940 1.982598; -3.902206; -0.083757 -0.122941; 0.167772; 0.035025; 0.004301; 0.001543; 2.441583; 0.000000 0.133227
9; 2.991914 1.972285; -3.902542; -0.000000 -0.044409; 0.083886; 0.007026; 0.010313; 0.000336; 2.752983; 0.000000 0.044409
10; 2.991914 1.970423; -3.902551; 0.044409 -0.133227; 0.041943; 0.000000; 0.001863; 0.000010; 2.153616; -0.044409 0.044409
11; 2.992379 1.969026; -3.902556; 0.004441 0.031086; 0.010486; 0.000466; 0.001397; 0.000005; 1.831431; 0.000000 -0.044409
12; 2.992752 1.971633; -3.902567; 0.044409 -0.000000; 0.083886; 0.000373; 0.002608; 0.000011; 0.846911; -0.044409 0.000000
13; 3.000203 1.971633; -3.902650; 0.044409 0.044409; 0.167772; 0.007451; 0.000000; 0.000082; 0.582539; 0.000000 -0.044409
14; 2.999271 1.970702; -3.902653; 0.000000 0.000000; -0.020972; 0.000931; 0.000931; 0.000003; 0.204001; 0.000000 0.000000
