i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient
0; 4.000000 -7.000000; -0.146230; -0.022204 0.030531; ; ; ; ; ; 0.022204 -0.030531
1; -1.819976 1.002468; -0.425729; -0.265043 0.634357; 262.108436; 5.819976; 8.002468; 0.279499; 3.031942; -0.127676 -0.094369
2; -1.993545 1.417888; -0.434687; 0.121546 0.083468; 0.654867; 0.173568; 0.415420; 0.008958; 0.671561; -0.133227 -0.055511
3; 0.574481 3.181412; -0.910810; 0.333067 -0.499600; 21.128046; 2.568026; 1.763525; 0.476123; 1.921603; -0.333067 0.499600
4; 1.582464 1.669439; -2.188360; 2.775444 -1.742879; 3.026366; 1.007982; 1.511974; 1.277550; 2.374941; -1.110223 -0.754952
5; 2.317182 1.208062; -2.400240; 1.847923 1.007401; 0.264721; 0.734718; 0.461377; 0.211880; 1.372866; -0.976996 -1.554312
6; 7.392738 3.975018; -0.355485; -0.088818 -0.133227; 2.746627; 5.075556; 2.766956; 2.044755; 0.018533; 0.088818 0.133227
7; 4.074672 -1.002081; -0.675800; -0.869390 -0.587991; 37.358106; 3.318066; 4.977100; 0.320315; 2.652144; 0.321965 -0.233147
8; 3.314096 -1.516479; -0.778894; -0.302276 0.230480; 0.874839; 0.760576; 0.514398; 0.103094; 2.305789; 0.199840 -0.299760
9; 1.078447 0.188169; -0.786115; 0.266454 0.410783; 7.396062; 2.235649; 1.704648; 0.007221; 2.919293; -0.266454 -0.410783
10; 4.415224 5.332367; -0.434521; -0.074725 -0.093459; 12.522924; 3.336777; 5.144198; 0.351594; 0.822629; 0.122125 0.166533
11; 1.979227 2.285650; -2.684630; -12.270381 -17.923243; 32.599668; 2.435996; 3.046717; 2.250109; 3.124473; -1.243450 1.021405
12; 1.952126 2.246063; -2.687515; 1.332268 -0.888178; 0.002209; 0.027102; 0.039587; 0.002885; 3.028240; -1.332268 0.888178
13; 2.714161 1.738040; -3.630179; 1.798220 0.503529; 0.571983; 0.762035; 0.508023; 0.942664; 1.443302; -0.754952 -1.199041
14; 3.068573 1.837280; -3.842979; 0.097289 0.844370; 0.197090; 0.354412; 0.099241; 0.212799; 0.296546; 0.222045 -0.754952
15; 3.083383 1.965816; -3.891722; -0.310862 -0.000000; 0.152227; 0.014810; 0.128536; 0.048743; 0.916589; 0.310862 0.000000
16; 3.000000 1.965816; -3.902587; -0.006344 0.044409; 0.268230; 0.083383; 0.000000; 0.010866; 2.574018; 0.000000 -0.044409
17; 2.999339 1.970444; -3.902653; -0.006217 0.087930; 0.104195; 0.000661; 0.004627; 0.000066; 1.132621; 0.000000 -0.044409
18; 2.999337 1.970468; -3.902653; -0.000000 -0.000000; 0.000279; 0.000002; 0.000025; 0.000000; 1.060134; 0.000000 0.000000
